y_true,y_pred,y_true_index,y_pred_index,prob_glioma,prob_meningioma,prob_notumor,prob_pituitary
glioma,glioma,0,0,0.99896216,0.0008527529,2.4334298e-05,0.00016082144
glioma,glioma,0,0,0.9999459,5.301285e-05,4.661764e-07,6.0208276e-07
glioma,glioma,0,0,0.9999361,5.8399164e-05,4.2464296e-07,4.9693476e-06
glioma,glioma,0,0,0.9998747,9.895696e-05,2.514383e-05,1.1595662e-06
glioma,glioma,0,0,0.9997321,0.00018775677,8.81102e-06,7.1292634e-05
glioma,glioma,0,0,0.99999404,5.9243807e-06,4.4970065e-08,8.8724034e-10
glioma,glioma,0,0,0.999806,6.9221146e-06,2.7937033e-06,0.00018437977
glioma,glioma,0,0,0.9999919,4.2314723e-06,2.1492691e-07,3.6220738e-06
glioma,glioma,0,0,0.9926928,0.0072734947,3.7669508e-06,2.9891211e-05
glioma,glioma,0,0,0.9968802,0.0020000876,0.0009067201,0.00021299104
glioma,glioma,0,0,0.999258,0.00052481244,2.2094544e-05,0.00019513053
glioma,glioma,0,0,0.9843954,0.015603927,3.3036721e-07,3.115143e-07
glioma,glioma,0,0,0.99677014,0.002872044,5.5563378e-05,0.0003021858
glioma,glioma,0,0,0.9977963,0.0014709771,0.0007069793,2.5751937e-05
glioma,glioma,0,0,0.9999095,2.910102e-05,1.17251e-07,6.130041e-05
glioma,glioma,0,0,0.9996069,5.776294e-05,4.8555e-06,0.00033050746
glioma,glioma,0,0,0.99434906,0.0014151067,1.0282996e-05,0.0042255353
glioma,glioma,0,0,0.9999435,5.0837105e-05,7.76854e-07,4.8745687e-06
glioma,glioma,0,0,0.99988174,8.780082e-05,2.711812e-05,3.305929e-06
glioma,glioma,0,0,0.999972,1.8383642e-05,4.816836e-06,4.864533e-06
glioma,glioma,0,0,0.99717283,0.0017904249,8.442447e-06,0.0010283173
glioma,glioma,0,0,0.99940383,0.0001596927,1.0800958e-06,0.00043542558
glioma,glioma,0,0,0.99996936,2.8288803e-05,8.552659e-07,1.5434861e-06
glioma,glioma,0,0,0.999931,6.635753e-05,2.009084e-06,6.0992886e-07
glioma,glioma,0,0,0.9997342,0.00016555865,1.2102408e-05,8.8107e-05
